src_mac,dest_mac,eth_proto,src_ip,dst_ip,protocol,src_port,dst_port,packet
,,6,443,43512,6,,,"b'\x16\x03\x03\x00\x80\x02\x00\x00|\x03\x03\x1d\x8c/\x81RYz\xba\x03\xabN\x8e\xe0\xa3\xe9\xff|\x0f""\xb6\xd7\r\xba\xeay\x9fIx7\xfc\xa1\x00 \xfe\xc7\xfe\x0f\x95\x9d\t\xe1\xe9\xc9\xd1]\xae\x8c\x8b5\xaap\xdb\x7f@i\xc8p\xfa\x15\x94\xe2\x191\x1d{\x13\x02\x00\x004\x00+\x00\x02\x03\x04\x003\x00$\x00\x1d\x00 `\x93\xb3G\xd4\xa0t\nO\xf8w\xbe)\x8cI\xf7\x8d\xe9\xeb1\x9a;\x02\x17\xee9\xfa\xb7\xc6\x8c\nW\x00)\x00\x02\x00\x00\x14\x03\x03\x00\x01\x01\x17\x03\x03\x00.\xa8\xe6f\xcbb\xc6\xf2?\x8cR\xf1\xd2\x92?\xec\xef\x89\xffo\xb7\\$\\P\xf7\x10\xf28>\xa7\x94y\n\xf8\\w\xa5;\xcb\x90&\xf7\x985\xcf-\x17\x03\x03\x00E\x0f\x1fR\x9aXa\xd6\xc3\x8c\xcb\xdbK\xd2>\xc1A\xd9\xb3\xd9n\x1a\xbaL\x81\xffU\x19\x06#\x01\x89{\xc2\x85\x02\xd8\x11$&c{\xc9ZK\xa8\xc8Ct\x19\xfb\xcb\x82\x8d\xc3\x1b\x08W\xb2j\x8c\xc6\xdf\x06\x9b\x96+\x9b\xdct'"
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,"b'\x14\x03\x03\x00\x01\x01\x17\x03\x03\x00E\xd8\x82\x98@#\x8f?\xb1r\xdd\xb7N\x9d\x95\x99\\+-\x81\xfe)}\xc2\x15\xec\x8cae\'\x9a\xd9]\xc4\x97T\r&\xbbwoZ@A\x0fH}\xd6\xa2\x8dC\x15\xa9\x0ee\xfc\xd3\'\xd0\x96\xd9\x8c""\xbb9\x13\x10\xfb\xe47'"
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,"b'\x17\x03\x03\x00\xa5\xdf\xd0\x19\x11\\\x81\xc8k\x01y\xb5\xfez\x06\xb0 \xeb}\xf8a\xc2\xdb*\xd0\xcc\xe8b/0_\xd7\x9e}\xeeJ\xa1\x12\x11\x96\xf7%\xd8qb\x14NQ@\x85\x06\xf5\xa8y\xdf\xd5\xe9P\r,\x15\x05\xf5\xa7\xb0\t\xf5d\xfa`\xe9\x18j\xc9\x1f\xbf\x1ant2-\x8fu_\x85p\xf4\x1b\xdf.\x89g\x07#Q\xd3Gl\xb2\x13W\x05\xfa\xa3\x02\xab\xf3\xcf\x13\xdf\xf9t\xc4\x92\x80\x9fC\xbdo4k\x8e\rH_\x08\xb5\xddCJ@\xc1\xb1Wj\x8e\x03\xc72\xb74G\xc9\x9e5\xfas\xbc\xa2\xc6\x1c\xc4\n\x89E\x19\xbd\x1d\xdb\x9a\x02QGt\xd6\xee'"
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,b'\x00\x00\x00\x00\x00\x00'
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
