src_mac,dest_mac,eth_proto,src_ip,dst_ip,protocol,src_port,dst_port,packet
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,"b'\x7fJ<\xda\x03\x04\xab\x00\xaax!;\xbd\t\xaa\x8a^g\xd50\x11\xce\xfe\xb8C&\xb3\'\x0e\xe0\xb4\x00\x81\r\xc0\xe9\x1b\xc6\n\x8d/\xe9pu\x9a\xcb}\xadQ\xd2D\xf9h\x10p\xf7r?\xca\xe4\x01\x1fM\xa4j!S\xa5\xe8\xfdqI\x99\x99p\xff\xb1y\xb4pj;V\x853\x8b\xa9\xd1\xcb\xb0kNH\xa7~\x8d\xc7\xf0\r\xa0\x92~\x89\xda)h\xf5\xb0\xe1A\x9c\x00\xfb\x1d\xe4\x0cV\xc8\x9f\xc3#R\x96+(\x7f\xa8-x2\xcb\x06\xb7\x07\x19\x0c\x0eN\xb0\x8fl\x9e\xca\xca\xf7$\xdc\xf3\xd6y\xf88d\xaeA\n\xe1\xf0\x08\xdcm\x7f6C\x10\x0c\x8ew\xb5\xa0\xa9] I\xf7\xb2\xbdM\xf6\xc6\x14\x90\xc2\x95U\xa7\xd1R\xd8\xf4JB\xd0\x0c\xae\xb8\x13\x07\xe8\xce\xf8\xaf\xe1\xfd\xf4k\xb4Q\x98=\x8c<%\xbc\x1e\x10M\xa2\xd1`a0\x9b!\x983\x9e;\xa0\x93p\xab\xc6;\x8f\xe2\xefN\x8b\xff\x90F\x1d\xb4\x0b\x1f\xeb\x99\xa0\xc8Sa\xdd\x9bR\xe7=\xa6Z\xa4:kr\xcd\x18.4\x9a%\r\xbe$tr,\xf7~\xcb\x14\xe8\xc1\xcf\xf4$\xa5A\'\xd2\xdc\x7f\x85\xf6,V2\x0b\xc9\x85\x9d\xad\xa8\x0f\xf6\x86\xee\xbc\x8f-\xe0\xbd\xd22Bn6\x06\xa7:L\xda\xec=\x92Py\xff\x12\xb9A\x90\xe2\x87\x1a\x14)]t\xaa\xc7\xb1\xc5?\xb3\xd6k\xf0\x18\xb5}\xe0\xde\x0co\x01\x97\xc8N\x959\x05\x96Nyk\xe1\x1e\x04\x86zt4@z\x13\x16{\x06\x99\xbd3gn\xce\x96\xa6\xdf\x1a\xd5,\xca\xbe\x96\x1c\x80J\xce}\xfbc\x82\xee/K\xebb\x86\xd7\x95O\x8d\x8f4\x19\xfb2\xdf\x1f\x87\x99\xd7\xb6\xc6\x9eD\xdb!k|\xa57\x96\xa8n\x9c@+B\x97\xe3)\xbfh\xc7\xe9O\x96\x16\x1d\xb5\xae\xd0\xbd\xe7\xb1\xf60\xa0xl>\x1d\x85\x9d\xe2=\xdc\xdd]\x9b\xbd\xb5#\xdf\x87\x82\xfeH\xf6\x7f\x8fWzm6o\xf4\xd9\x01\xf8\\\x02\x02\x857\xd7l\x99\x14\xf668Pd\xb17\x18\x04\xf1\x86|\x94f\xbc\xab\x7f\x8d\x82I\x0eI\xfd\xe57\x8a\x18\xbc\xec\x11\x9f\x95m\x1dV\xbbKT\x14\x8a\x18\xcd\x9a\xa8HI\x87\x04\x01\x98b\x9fj\xea=7~u\x89rC\x1b@\xde6\x92{v\x98\xe7\x9dy\x9f\x07\x7f1\xe4A\xd6G\xb8\x96\xaa\xa2\xb0\xfe\xa64)\x14\xc1\xdc\xd7\x16O\xfd\'\xcdq6,\x93\xab\x1d\x03)\xfe\xab\xa5\xb0\x01\xbb\xf5\x02\xab\xb8\xd4\x1a\xdf\x84\x98\xce\xcb\xff\xd6\x17\x0c74\xb9\x08H\x02\x7f;\x18\xe9\xd1\xa0\xef\x836:\xe5\xcc\xffJ\xa3\x93\xa21\x96Q\xd1\x97}\xfc\x01\xdb\xa01\x94]d\x96\xd0\xfe6\xab\xc3Z\xcd8\xb93Z\x131\xf0\xd2\xdf\x88""\x8d\x8f\xa8\x8c#\x9e\xdbF\'\xb8\xdc\xd1\x0c\xf0\xd3E\xbb\xfe\x1cX\xf4\t\xa0W\xe2\xb1\x95\x87\x14\xcc\xaa\x1f\xa6;4\x1bT\x17cZCg\xf6\xfd$\x9a,#\xa8\x82]6>\x85\xbc(vr\xacM\xa3\xcd""V\xbc(\xa1p\xc2\xd7\x89\xad!\x19\x10\xc7\xc9\xc9\xcb\n\xd0QY\xdb\xa4\xdb\xf3}\xb2\xbd\xa3Q\xc0\x92\x14J\xbc\x17L\xf0\x8f\x0cN\xe8\x18\x9a,X\xe1;\x9f\x06\x92\xdd\x95\x10<\xcc\xc2pk\xcf\x1d\x10\xed\x1dK\xd0\xbat\x93+\xa4/Q\xb3\x04=\x0f\x98\xc3H-2\xb1\xa8\xfc\x99\xb0\xdc\xdf!\x93\xba\x0bgm\xf5\x0f\x04\xcc\x01\x84\x9ck\xf9\xca9\x19\x1e\x82)Op \x06\xb9/\'\x8b\x83\x92\x81 -\xbfK\xfb\xa2\xc3\x80\xf7""\xda\xbb\xf5|\xffW\xc9\x9f\x07\xceNf\x8e\xa3?`.\xc8>[\x89\xc8\xe3\xb9\x0c\xdb\\\xa0#/\x94\xf7\x04\x8d\x89\xe2\xfa\xc3\x15e\x93\x9d+\xf1\x07\xf9\xd8\x80\n\xc1dq\x8a|\xc7\xd9\x97\x82\x9fv\xc0\xdcLT\x91apQ\xfa-\x01\x0cZ\xf7\xbe9H\xee\xf7N`/\xb4c\xcdH\xab\xb2\x1f\xcav\xb05nR\xf9\x98\x0337\x9d\x81I\xaa\x1aW4q.r\x8f4\xa5\x1dG\x15\x89\x07c\xef\xf7iP!v\xbc\xf3f\xb7\t\xec\x97p\xff\xd1\xc5`\xf2\xb4>\xe9(\x95\xdb\xb8\x94\x1a\xb2-+^\x8d\xd8mY\xa7\x96\x18\x18?\x8d\xc7\xc6\xbf\x0bI\xf9\x8e\xc1\xdf\xb1f\xd4I\xe6\xa8\xc3\xe5\x18SE\xfdnasD\x02\x8d\xc4s\xab\x0cnD_Z\xf1\xda\x95\x9d[\xb6\x91\x84\x90\xc4\xcdE\xa0\x8b+i\xe8\xe3\xcf\xec \x12\xa5\x81#b\x107\x14\x8co\x8a\xd1\x81\xb8\x13U\tn\xd09\x99\x86\xd4r|6s\xef\x96\x18}\xb2\x19by\x0b\xe0\xbf\xde\x0b$\xd3\xa5\xeb\xcf`n\x13\xea$S\xb5\x88\xa2\x86u\x8c\xf39!\\W\xee\x80?\xff\xfd\xc2U\xaa\x95\xe2\xab$\xa1w\xb2n\x1e\xd5\xd4H\x0f\xb6\xf8\x83\x17!\x88h\xe1\xe53\xb4Be/\x16\x8f\xfe\x051\xb3\x18\xdd\x01\xa6$\x80\xe1\x95\xc2\xa5>=\xa2\x9f;\xf6\xdc\x1d\rR\n\x963\xc1\xa5\xe6$\xf6A\'\xe6\xfce\xf8\xc9\n\xe0{\x12\xa1\xea%\xcb\x98\xe2\xc9\xcep\xddD\x18\x18JZ\x9dM\x97,\x15\xce\xf3J\x07S\x9b\xe5\xca\x89\xd8\xcfI\x92\xfb\xb2:N7\xbfm\x1f\xd3\xf5\xcf\x82\x92\xdc\xf3%\x8c\xc5.w\xd7\x19\x08\x97\x8c\x1a\xe04\tW\xc7\x01\xde\xbb\xce\x969\xe6\x92\xf2\xc0\xecZfN\xb94,\xe4+\x82aD\'\x9e:\x8c\'\x03\xbev)\xfa\x92\x7fp}\xdd\xe6\xb5&fj\xd6#\xe4y\xbb~\xac\xa5-\x89\xb1\xbf\xb0\xea\x1aw\xf2\x0c\x9f\x80\xd6\xed\xe3\x00V\xb7\xe70\xc8Yni\x07@\xd8!\x83c\xf8w\x1b\xb0\x06\xc6\xb0G3\x84\xb8\xed\xcc\x96\x02\x85\xfd\x8df\xbc>\xa1\xef\x1b\x13\x7f\x96\xd6\xa6\xe0\xa5n\x12\x11\xb2h>\xd6\xe2\x9a\xb6\xc4\xba\xfbH\x1a\xc3\x11\xc8\xd4\xbdlN\x9dO\xbe\x04\x00^\xcc\xab`\x11\xc5^\xd6\xfb$vEa\x85\xfd\xe5\x97-q\x17\xd2\x1c\x8b:s'"
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,"b'\xf8\xb3\xef[\x06\xb4\t\xc3\xc6\xb4<\x92\tN7a\xe6\xdad\x93\rzj\x13v\xd2X\xd8;\xd6\xe9\x86\x83\xfb\xe9\xb1}y\xd6#\xc2rNu\xa1\xc4\xe8\x96\xf74\xcb|\xdb%&B\x15%\xc8\xa0\x96S<w\x98\xf9\x12\xf6\xe7)9\xef6\x12m\x82R\xf3\xf2\xe7\x1b\xc8\xc7;N\x08\xd1\xd8\xcb\xa0\xaa,\xd55\xff\x1c\xdd\x17u\xbaaN\x1dDV\xb0\xde\xc5X\xfa\xc8\x9a\x8b\xf7B\xe4\x93i\x0c\xb7\x91\'&\xe7\x83t\x1b\xc2]\xdb\xcc/\xcc/\x81\xed\xb1\xb0\xfeY\xd3bn\x88\x16\xdd\xc1\xd7\x96\x8f\x87e6\xf8\xc9+wE)\x9d\x8f\x16\xefK\xc4\xf3\xdd\x14K\xc4\xd3w\x02\xb5\xc61\xfc\xdb\xaa\xb9\xf2v\x9d\xd8\xb4v\x0f\x04J\xb7\xe5f\xd4\x95\xe0\xc8\x98\x8f\x96\x90\xf4\xe1q\x0bp\x8e,\x97\xd1\xd9\xb7[u\xd0U\x98\xdc\xfb{|\x1c.?\xcd\xbc\xb2G\x8dJ\x8d\x0b\xf4\x93\xba\x02\xfa5P\x99\xb9\x17s\x03.\x00\x81\x0f\xa1\xd3$\xa6\xca\xdf\xa8\x96\xedC\xbcM\x17<\xf4\x13C\xcb\xbd-\xd4\'[\x0b\xb6\x07\xe8g\xb7\x9cB\xcdu$\xdf\x10\x8c\xfan\xd7\x92X+\xc2\xdd\x82,\xc6c\x0fq\xda\xd9\x83\x00\x96\'\x97\xfa6\xdc\xc0`\xef\x83\xdb}\x85\x1f\xc5\xdb\xe3jH0\x19\xbe\xe3\x8b\xa0\xb3\x952""B\xe3@\xde\xcaaz\xe8SA\xbec\x0c(\xbcT\n\x1b\x8c\x885\xa0\xf50Q\xebOOu\xc3\xd9BY\rr\xbd\x87\xc2|\x0f\x82\xe4\xdc\x93\xdf\xb9\x19\xe7{b\x8b\x10\xdc\x93>\x96\xb3\\\xef\x9aO\rl\xa8c\x99\xac7\xf6\xc8-\xe9\x1e7\xcfh\x95\\\xf8\xd7\x03\x81\xd9\x1e.N$\xd4\xeci\x03F\x86\xc6+\t\x03\x02@""d\xb4X`\x94\xe1\x967\x91\x93 \xaaK\xafa\xae\x8d\x06\xaf\x9cqX\xd5Y;%o!\xffP=0C\x7f6\xae\xafc\xe0-\t(\xfc\x06\x06Q\n\x0f%U8|p\x9b}y\x16v\x01\xb4\'\x9f\xed\x99\x05\x85{(:\xf9,\xbe=pL\xd0\x8d&\xa1\xb2\xea\xe8\xeb\xf9[\xee\xd7f\xcb\x80\x15\xc0\x7f\xd8}\x0cA\xf0\x1c\xce\xab\xc3F\xdd\xf2\xd3U&\xb4\x91\xc4\x8f\xa9aN\x12\xc6\x80\x7f\x9b\x84\xec\xb4\xe1r\xc9U|\x16%#p\xaf\xdc\xde\x0f\xab\xfa\x0f\x03\\\'B\x81\xf0\x1b84\xba\xcf@5\xe0\xdeZ={;\x9f\x01A\xe9\xd6\xac\x827\x02\xa6S\xcf\xb3\xa8dk`\xec\xce\xeb\xd9\x1b \xd9\xdb|\xedg\xed\xf8\x8eb\xb3\xdcYG\x12\xff\xd6\xf4\x05$O""U\x8d\xed\x90k\xee3\xb0cy\xef\xd3\xc7Y]z\x9bf\xa1\xc0\xc1\x0eo\xbc<\xac\xaf\x9a\x08\x0e\x0f\xd0\xba\xaf\xe0\xadhz\xfd\xa0\xd9g\xab\xcc\x8e\xd1\x18\x18g\x95\xa0\x98\xda\x95Mstf\xbe$\x15h\xc1{\xcc\n5\x1cf\xfdV\xa3\x08l\xd6Y<5\xb5U\xc2\xa1\xc7\xfd;\x8a\xf8""\x8ei\x8fA\x9f\x15?\x80e\xa4y=2\xcf\xb6\xbd\x0f\xa5\xd8\xc6\x14G\x1c\x7f\xc7\x0f\xe2Tj;\xd3\x1d\x89\xa3a\x91\xecz\xc2Q\x90\x917\xe5\xac\x1a\xe5\xaeq+\xec\x12\xc4\xb8y\x96\xfb\xf3\xbcB#\xe5\xf9\xe4@\xbe_\x19\xfd\xe49\xde?Jf\xfb4\x88o\xb2\xef\xfa\xad\xd9(:\xa4\xc5\xa0\xbf$\x84>\xcd|3\xd4\xe6\xe7\x82\xa1l\x9d\xf4\xeb\xef\x12\x9f\x8f\xc1\x105\xf4@b\xbf\x15\x12\xe7\xe7\xc2\xf5\xd5Rn\x14H""o\x8f\xea\xbe\xc1\x04\xde{`\xd3\xc3\xe9\t^\x84\x0bD?u\x06\xc8\xd4\xf3\xde\xd9\xad\xdc\xbc\xa60u\xdf\xe3\xfc+R\xac\xcf\x96\x85&\x84\x86C\xce\xa8\\\xc6\x80C\xa253\xe4\xd2\x17A\xc3M5\xc6\xfdd\xad\x011\x8c\x1e\xfe\xe99\n\xc2g\x9a\xc3R\x1b\xe0\xd8\xac\x13-\x19=8a\xc5\x02\xec0\x902\xa0\x12+`\x934Q\xc9b(8\xbb\xf1\xeb\xcbq\xbeN\x9fs<\xb1\x1a8\xcf\xe80\xdc\x12\xfabc\xa7I_\xcf\xf0\xcbE\x1f\xf8\x97\xbc\xd7\xafsO\xfb?A3\x89<w\x8ekH=\xde\xf4\'\xe7\xe9\x93\xf3\xc6\xf5y\x80\xe82=\xb5\x1a\x83v\xb7\x80\x1b\xd6\xb5\t\xff\xbb\x15r\xdex\x9c\x08\xffa\xf0;\xfdz\xa6x7g)Z\xc6Y\x04\xd1\x95\x98\xd9\xbcse\x94\xc42\xea\x8c\xbaT\xc6u\xd1\xd6N\x87\x05}N\xccM\x9d\xb4=\x8eOy\x08\xcbDr\x12\xea\xc9W\xe8\xcd\xb0{8f\x14.5\xacG\xa2\xbd*\xfe>\xff\xde\x1f\xb5A_4\xc4OD$\xab\x9a\x91\xb8~\xa9e\xadu@\xf8\x14\x1b2\x11\x03\xed\xc0\xbdk\xa2o\x1e\x16v\xd9\xf8\xa7\x80\xde\xac\xd1cw\xa4O\x9a!7\x08\x18\x87_\x15|\xd6K\x94\x88\x1d\xba\x18\xd0\xe4\xa5\xdb\x8f7\x0b\x00>\x93\xa0\x9a\xc9}\x95\xf3\x8d\x19\xdd\xb9u\x9bR\xd8_X*\x08O\xfe5G\x1a3k\x18\\\xde\x87yC\x8f4\x8e\xb8>\x7f\xdc\x04\xed-`""A7a\xca\xdc\r\x105+\x8c\xf8\xae@\x0f\xfa\xafHWT\xf8V\xea\x03\xce\xa3\x81\x99\xff\x12\xe5Q\xbf#2\x05\xd3~\xcf\x87\xa2\xe4\x1dt\xcc\x17\x87E\xeb^\xf41\xdc!Z\xf9\xac\x88\xb5\x87u\xd7\x08\x0b\x82D\x17\xbf\xbcz\xb8\xe7\xab\x82|\xcc\xb2\xd7~v\xb2\xd5F\xdf\xd7\x85\x97\x82k,\x8c<\xb2=/\xf2\x17\x0f\xf7\xe9#L\xb4w<\xce\x90\x93j\xa8]\x8c7\x93\x98zK\x9e\r\xb6\xc2(Ji\xad\xe3\xbfPl\x95\xb7\xb5\xedem(_S\xa4M\xb2\xfa\x11""M\xe2\xdc\x18\xd4\xdd2\x92\x9c\xba\xd8\x9a<\xc6\\\x92\n\x88\x8b*\xbb\xf8(\xd8\xd3\x08\x8e\xaa\xd2\xc4\xc1;\xe4\xe5~\xf2\xe9\x1bd9=kI\xaa\r\x80b{\x0e\xc6q`2O}\xbf\xce\x116F$\x1f\x89\x94)\x82\xad\x01\t4\x8a\xda\xdd6\x8d \xa1\xe2\x98nv\xbc\x9ajU\x16\xbe\x97)s\x9e\x96\xe6}\xe4\xfe\x02\xcb*'"
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,17,103.62.236.84,10.0.2.4,17, , , 
,,17,,,17,53,53128,b'\x86 \x81\x80\x00\x01\x00\x03\x00\x00\x00\x00\x06assets\x06alicdn\x03com\x00\x00\x01\x00\x01\xc0\x0c\x00\x05\x00\x01\x00\x00\x02;\x00!\x08wildcard\x06alicdn\x03com\x07edgekey\x03net\x00\xc0/\x00\x05\x00\x01\x00\x00TX\x00\x19\x06e11956\x01x\nakamaiedge\x03net\x00\xc0\\\x00\x01\x00\x01\x00\x00\x00\x0c\x00\x04\x17\xd7\xc2g'
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
